%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1702028662395205418,322,1702028662394788503,base_link,-0.14940876010587123,0.2291586065811962,-0.8642590549852437,-0.4221606818610707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.038804687559604645,0.02779174968600273,0.022298747673630714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.324876889561721,-2.4980790056756037,8.431787543073991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702028662401675009,323,1702028662401219844,base_link,-0.14940876010587123,0.2291586065811962,-0.8642590549852437,-0.4221606818610707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.035608142614364624,0.01820356771349907,0.02336421050131321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.24333763645905,-2.4765479458483166,8.479433706028052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702028662401706444,324,1702028662401442050,base_link,-0.14923769951620988,0.22924715204779814,-0.8642867426288152,-0.42211642805884164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.035608142614364624,0.01820356771349907,0.02336421050131321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.24333763645905,-2.4765479458483166,8.479433706028052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702028662408507418,325,1702028662407903671,base_link,-0.14923769951620988,0.22924715204779814,-0.8642867426288152,-0.42211642805884164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02602001279592514,0.008615640923380852,0.01803802326321602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.29010071474483,-2.564411086675525,8.429640065618553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702028662408520048,326,1702028662408127069,base_link,-0.14916507485576352,0.22928343356669342,-0.8642896165676032,-0.4221165078844556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02602001279592514,0.008615640923380852,0.01803802326321602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.29010071474483,-2.564411086675525,8.429640065618553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702028662415087597,327,1702028662414544105,base_link,-0.14916507485576352,0.22928343356669342,-0.8642896165676032,-0.4221165078844556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020692966878414154,0.0011585894972085953,0.012711748480796814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.279212101275442,-2.594398979957001,8.425997728761615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702028662415146198,328,1702028662414745807,base_link,-0.14911862628580463,0.22932536950977422,-0.8642911272341439,-0.4221070451652907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020692966878414154,0.0011585894972085953,0.012711748480796814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.279212101275442,-2.594398979957001,8.425997728761615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702028662421590595,329,1702028662421237945,base_link,-0.14911862628580463,0.22932536950977422,-0.8642911272341439,-0.4221070451652907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015365956351161003,-0.003102445974946022,0.008450692519545555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.286346837178546,-2.564942756992139,8.43138775319716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702028662424709701,330,1702028662424455881,base_link,-0.1490964955628417,0.2293517879152822,-0.8642952547486279,-0.42209205750635387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.015365956351161003,-0.003102445974946022,0.008450692519545555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.286346837178546,-2.564942756992139,8.43138775319716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1702028662429144966,331,1702028662428184747,base_link,-0.1490964955628417,0.2293517879152822,-0.8642952547486279,-0.42209205750635387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020691625773906708,-0.002037147991359234,0.004189629107713699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3160445468341475,-2.5628526284318416,8.416860808798209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
